User_Agent,AcceptLanguage,AcceptEncoding,datetime,Page
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.849467,puppy2
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.886450,puppy2
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.893613,puppy2
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.900459,puppy2
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.907457,puppy2
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.914555,puppy2
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.922207,puppy2
Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1,ms,gzip,2019-02-20 19:59:37.929078,puppy2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.412807,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.420028,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.426898,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.433974,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.441924,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.449018,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.456537,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.464072,kitten2
Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/528.16 (KHTML: like Gecko) Version/4.0 Safari/528.16,ss,gzip,2019-02-20 19:59:42.471760,kitten2
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,fy,gzip,2019-02-20 19:59:45.804538,kitten1
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,fy,gzip,2019-02-20 19:59:45.812342,kitten1
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,fy,gzip,2019-02-20 19:59:45.819577,kitten1
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,fy,gzip,2019-02-20 19:59:45.827234,kitten1
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,fy,gzip,2019-02-20 19:59:45.833927,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.342121,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.349379,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.357285,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.364952,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.374819,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.382078,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.389017,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.397585,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.404387,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,2019-02-20 19:59:49.411551,kitten1
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.924223,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.931818,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.939896,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.947197,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.953812,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.961508,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.968326,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.975055,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.982087,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,2019-02-20 19:59:53.988911,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,2019-02-20 19:59:59.277683,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,2019-02-20 19:59:59.282390,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,2019-02-20 19:59:59.286587,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,2019-02-20 19:59:59.290782,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,2019-02-20 19:59:59.294899,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,2019-02-20 19:59:59.299338,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,2019-02-20 19:59:59.303472,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,2019-02-20 20:00:03.674698,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,2019-02-20 20:00:03.682951,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,2019-02-20 20:00:03.690844,kitten3
